Script,subject,Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
LN,4,1,6.962236965996879,0.0013518367346938775,6.896623111997332,0.0017295238095238095
LN,4,2,6.87946531221818,0.002366530612244898,6.855858897072928,0.003441904761904762
LN,4,3,6.810105414371101,0.005274285714285714,6.746920030230568,0.008167619047619047
LN,4,4,6.627566554789641,0.012351836734693878,6.468972696667626,0.01911809523809524
LN,4,5,6.19036192858949,0.03344489795918367,5.838405367442539,0.054779047619047616
LN,4,6,5.266285381939946,0.10131510204081633,4.580410618146261,0.1632952380952381
LN,4,7,3.706485194128387,0.27631102040816324,2.8219884985060917,0.40438857142857143
LN,4,8,2.046317911274579,0.5540236734693877,1.3964977859542482,0.6963619047619047
LN,4,9,0.9954889035565513,0.7936677551020408,0.6983740578606015,0.8663142857142857
LN,4,10,0.5277797857863562,0.9064832653061224,0.4021056914897192,0.9351542857142857
LN,4,11,0.3234810193472979,0.951385306122449,0.26389416866359255,0.9629485714285714
LN,4,12,0.2218287027131538,0.9708995918367347,0.18997618579154923,0.9761028571428572
LN,4,13,0.16410758154367913,0.9808114285714286,0.1456062933078834,0.983032380952381
LN,4,14,0.12797005535814227,0.9865134693877551,0.11573930016656717,0.9879638095238096
LN,4,15,0.10364376559762323,0.9901371428571428,0.09560502863923709,0.9909009523809523
